rName	Reads	Index	rSubPool
3_TXNDC12_2	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_2	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSFM_3	288	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MARS2_2	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_3	161	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_1	144	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NTHL1_2	251	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDSS1_2	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_KIF1B_2	KIF1B	146	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_FAHD1_1	FAHD1	33	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_GNB2L1_3	GNB2L1	326	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ECI2_4	ECI2	75	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MAOB_4	MAOB	206	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATP5I_3	ATP5I	302	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RNF5_4	RNF5	574	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TXNDC12_4	TXNDC12	82	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTERF2_4	MTERF2	260	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NIPSNAP3A_2	NIPSNAP3A	126	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RPL35A_3	RPL35A	55	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DDHD2_3	DDHD2	178	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SLC25A21_2	SLC25A21	102	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_KIF1B_1	KIF1B	205	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPS18C_2	MRPS18C	163	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_COX20_4	COX20	74	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RSPH9_1	RSPH9	135	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__16	_NONTARGET_	59	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_YARS2_4	YARS2	221	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_GCSH_3	GCSH	113	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_COX18_2	COX18	27	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PARK7_4	PARK7	196	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_FAHD2A_4	FAHD2A	103	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SUCLA2_1	SUCLA2	112	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_YARS2_2	YARS2	62	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NDUFA13_2	NDUFA13	203	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DDHD2_2	DDHD2	442	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TFDP2_2	TFDP2	119	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_METTL17_3	METTL17	548	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATG13_1	ATG13	247	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ABCB7_2	ABCB7	515	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPL18_2	MRPL18	402	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DDX28_3	DDX28	134	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_COX6B2_3	COX6B2	117	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDE2A_4	PDE2A	257	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_AK3_4	AK3	368	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_BPHL_4	BPHL	255	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MYO19_1	MYO19	206	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ABCG2_3	ABCG2	201	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RNASEL_3	RNASEL	260	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DNAJC19_4	DNAJC19	870	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPL18_3	MRPL18	90	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__6	_NONTARGET_	101	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SARDH_1	SARDH	202	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GFM2_1	GFM2	189	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LETMD1_4	LETMD1	244	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_FAM162A_1	FAM162A	82	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPL42_1	MRPL42	383	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
