Gene  log2(fold_change)   q_value
Etnppl   -2.1270583  58.60891655436105
Scn3b   1.4116027  42.9680481642327
Hmgcr   1.6090919  42.25377509358407
Mkx   -2.420956  41.26863106285695
Aacs   1.6672083  39.884427770883676
Ppl   -1.5710446  39.25111468295876
Mvd   1.4669069  39.15371793797309
Dhcr7   1.1971829  37.26298621294473
Fam169a   -1.3188934  36.96613424331184
Lss   1.4075909  36.64714895689688
Idi1   1.3771664  33.50326887472238
Gm12068   -2.6387093  33.4435873449352
Fdps   1.4239516  31.995563907545236
Cyp51   1.2993225  29.556123224505118
Acat2   1.0995921  29.389096278267417
Adam11   -1.3280603  28.955723530112525
Shisa4   1.2209924  28.597482089941664
Col1a1   1.2951399  27.547650218623325
Hsf4   -1.407307  27.295716538015363
Srd5a1   1.3085775  26.00360934888101
Acsl3   0.9858773  25.73028322139478
Sqle   1.2271518  25.401521762140835
Shh   -2.294479  25.361892078238597
Col6a5   2.0352404  24.32188786935271
Emid1   1.2909915  24.25651062754431
Col4a5   1.0263193  22.979305984327684
Pmp2   1.5197679  22.87256008745302
Col3a1   1.6091624  22.77885664078251
Ugt8a   1.1668131  22.537829743993047
C1qtnf6   1.2869297  22.2917585115723
Hmgcs1   1.2088916  21.9421013850428
Rph3a   -1.0160171  21.869701286073244
Col26a1   1.2437832  21.811968769127716
Cnmd   1.0584081  21.483446795113903
Faim2   -1.5450358  21.459604127543223
Gm23153   -1.2232224  21.39254439288753
Gm5873   2.0207882  21.38262451750587
Hpca   1.5798025  21.343995920805494
Postn   1.8613224  21.188313746169374
Dhcr24   1.0038755  20.537650692033907
Msmo1   1.0527196  20.385181346703092
Pappa   -2.1333857  20.251177911995487
Mpz   1.0366112  20.227601988028965
Eif2s3y   11.81801  20.088018904619044
Kdm5d   8.016635  19.608308222726144
Fras1   1.0298645  19.209537452968174
Aldh1a1   -1.122302  18.819346594061397
Lncpint   -0.9366931  18.69910295802243
Nsdhl   1.0216115  18.674633945625484
Cldn1   1.0181043  18.42607818416935
Rims1   -0.98698616  18.309656994878907
Nid2   0.9339477  17.897406543502473
Ddx3y   10.248155  17.823538794980916
Elovl6   1.1401442  17.79281991441126
Stard4   0.8406481  17.704363020534633
Efr3b   -1.2023771  17.66594879153837
Mlph   -2.0540793  17.624339739212164
Sc5d   0.95354915  17.598249906198955
Ccn4   0.9943472  17.577794635071193
Myo16   1.0586301  17.54066083385522
Gm13369   -1.502054  17.50567491836281
Fxyd7   -0.7917899  17.208601923347587
Aass   -0.9013114  17.121073140935493
Uty   7.366052  17.080616819952922
Jade2   -1.1056782  17.043652923878906
Mvk   0.82533586  16.941921608869755
Pmp22   0.93877083  16.917394332297697
Magix   0.9818049  16.894210552236913
Col1a2   0.96594447  16.876607631330863
Gpnmb   -1.0761522  16.74971321319641
Cyp2d22   -0.99908894  16.529623355142554
Nrn1   -0.92044115  16.394632213733473
Serpina3m   -3.203748  16.36983214794236
Adamts2   1.0096684  16.320959601948534
Nr4a3   -4.1024375  16.265690209450845
Fosb   -4.5821543  16.25725077400931
Fdft1   0.93209755  16.151331905729926
Slc2a3   -1.2650107  15.902985105430687
Pcdh20   -2.9042363  15.763737771665445
Mobp   1.661215  15.713355903036005
Fgd2   1.052274  15.630576808336507
Loxl2   1.0491943  15.61853391280914
Rcan2   -1.066208  15.615923403630562
Kcnh8   1.2359635  15.579762567299166
Sh3gl3   1.1779349  15.543185643163243
Dynlt1a   1.9852602  15.41505915830664
Them5   0.82057655  15.289643836682277
Pdk4   -1.4397985  15.285249067678642
Gm3571   1.3416611  15.271806598455722
Mgl2   1.0193534  15.259549388920611
Col14a1   0.84604234  15.18574019047141
Hsd17b7   0.84437567  15.160441619592362
Txnip   -0.9889645  14.84364635142107
Mfap4   2.3836725  14.825995434624522
4933430M04Rik   -1.6465373  14.822045671077381
Fgl2   0.7980755  14.770721127408958
Stmn3   -0.8854968  14.644462643210025
Mirg   1.1157999  14.643730078612567
Chst2   0.8925528  14.628920438132525
Fndc1   0.8277402  14.61483336975734
Col8a1   0.9868894  14.594918539568736
