Gene,logFC,NegativeLogPValue
Etnppl,-2.1270583,3.5194188E-26
Scn3b,1.4116027,2.1838046E-19
Hmgcr,1.6090919,4.4608604E-19
Mkx,-2.420956,1.1947066E-18
Aacs,1.6672083,4.768844E-18
Ppl,-1.5710446,8.9837464E-18
Mvd,1.4669069,9.902762E-18
Dhcr7,1.1971829,6.5598017E-17
Fam169a,-1.3188934,8.826975E-17
Lss,1.4075909,1.2143543E-16
Idi1,1.3771664,2.8165353E-15
Gm12068,-2.6387093,2.9897478E-15
Fdps,1.4239516,1.272047E-14
Cyp51,1.2993225,1.4586086E-13
Acat2,1.0995921,1.7237634E-13
Adam11,-1.3280603,2.6588207E-13
Shisa4,1.2209924,3.80427E-13
Col1a1,1.2951399,1.0869449E-12
Hsf4,-1.407307,1.3983662E-12
Srd5a1,1.3085775,5.0906818E-12
Acsl3,0.9858773,6.6908297E-12
Sqle,1.2271518,9.295211E-12
Shh,-2.294479,9.670974E-12
Col6a5,2.0352404,2.73614E-11
Emid1,1.2909915,2.920998E-11
Col4a5,1.0263193,1.04764517E-10
Pmp2,1.5197679,1.165664E-10
Col3a1,1.6091624,1.2801718E-10
Ugt8a,1.1668131,1.6290894E-10
C1qtnf6,1.2869297,2.0835901E-10
Hmgcs1,1.2088916,2.9557415E-10
Rph3a,-1.0160171,3.1776745E-10
Col26a1,1.2437832,3.3665287E-10
Cnmd,1.0584081,4.675818E-10
Faim2,-1.5450358,4.7886417E-10
Gm23153,-1.2232224,5.120779E-10
Gm5873,2.0207882,5.171829E-10
Hpca,1.5798025,5.3755184E-10
Postn,1.8613224,6.28105E-10
Dhcr24,1.0038755,1.2039588E-09
Msmo1,1.0527196,1.402259E-09
Pappa,-2.1333857,1.6033384E-09
Mpz,1.0366112,1.6415876E-09
Eif2s3y,11.81801,1.8874882E-09
Kdm5d,8.016635,3.049439E-09
Fras1,1.0298645,4.5436397E-09
Aldh1a1,-1.122302,6.7121495E-09
Lncpint,-0.9366931,7.5697715E-09
Nsdhl,1.0216115,7.757281E-09
Cldn1,1.0181043,9.946171E-09
Rims1,-0.98698616,1.1174214E-08
Nid2,0.9339477,1.687544E-08
Ddx3y,10.248155,1.8169185E-08
Elovl6,1.1401442,1.8735983E-08
Stard4,0.8406481,2.0468821E-08
Efr3b,-1.2023771,2.1270413E-08
Mlph,-2.0540793,2.2174126E-08
Sc5d,0.95354915,2.2760258E-08
Ccn4,0.9943472,2.323062E-08
Myo16,1.0586301,2.4109477E-08
Gm13369,-1.502054,2.4967898E-08
Fxyd7,-0.7917899,3.3604632E-08
Aass,-0.9013114,3.667857E-08
Uty,7.366052,3.8192876E-08
Jade2,-1.1056782,3.963105E-08
Mvk,0.82533586,4.387498E-08
Pmp22,0.93877083,4.496442E-08
Magix,0.9818049,4.6019043E-08
Col1a2,0.96594447,4.6836284E-08
Gpnmb,-1.0761522,5.31731E-08
Cyp2d22,-0.99908894,6.6263716E-08
Nrn1,-0.92044115,7.584059E-08
Serpina3m,-3.203748,7.774496E-08
Adamts2,1.0096684,8.163893E-08
Nr4a3,-4.1024375,8.6278085E-08
Fosb,-4.5821543,8.7009305E-08
Fdft1,0.93209755,9.6731E-08
Slc2a3,-1.2650107,1.239999E-07
Pcdh20,-2.9042363,1.4252652E-07
Mobp,1.661215,1.4989124E-07
Fgd2,1.052274,1.6282712E-07
Loxl2,1.0491943,1.6479989E-07
Rcan2,-1.066208,1.6523066E-07
Kcnh8,1.2359635,1.7131488E-07
Sh3gl3,1.1779349,1.7769706E-07
Dynlt1a,1.9852602,2.0198767E-07
Them5,0.82057655,2.289771E-07
Pdk4,-1.4397985,2.2998562E-07
Gm3571,1.3416611,2.3309806E-07
Mgl2,1.0193534,2.3597278E-07
Col14a1,0.84604234,2.5404862E-07
Hsd17b7,0.84437567,2.6055767E-07
Txnip,-0.9889645,3.5767312E-07
Mfap4,2.3836725,3.6404242E-07
4933430M04Rik,-1.6465373,3.6548315E-07
Fgl2,0.7980755,3.8473112E-07
Stmn3,-0.8854968,4.3650647E-07
Mirg,1.1157999,4.3682635E-07
Chst2,0.8925528,4.4334374E-07
Fndc1,0.8277402,4.4963335E-07
Col8a1,0.9868894,4.5867748E-07
Cx3cr1,1.5893701,4.5974892E-07
Cd276,0.89152735,4.795273E-07
Hs3st5,2.1678941,4.8510094E-07
Peli3,-0.8841517,5.279123E-07
Junb,-2.1426175,5.349839E-07
Il31ra,2.281359,6.657441E-07
Mboat1,0.8597957,6.795564E-07
Gm13833,-0.8747788,7.015767E-07
Syt4,1.290044,7.4325357E-07
Kcns3,-0.90857303,7.8787724E-07
Fmod,1.2608669,7.880247E-07
Gm26740,2.129654,8.742543E-07
Mettl7a1,-0.9593081,8.8620493E-07
Slc7a4,-1.213666,9.65485E-07
Lgals3,-0.85624015,1.0220484E-06
Maged2,0.74799997,1.0548521E-06
Klf10,-1.5266968,1.0762321E-06
Adamts7,0.84423447,1.1940484E-06
Csmd3,-1.9418154,1.2024262E-06
Arsi,1.4035755,1.2897962E-06
Camta1,-0.6635969,1.3732849E-06
Fstl1,1.0089943,1.4831691E-06
Cd248,1.0045662,1.5193881E-06
Csrnp1,-1.4637594,1.5310839E-06
Nrxn3,1.6976013,1.5490696E-06
Map3k21,-1.623509,1.5956977E-06
Ighm,0.9206845,1.6208322E-06
Synpo2,-1.0195951,1.6347399E-06
Fos,-3.1634758,1.7020362E-06
Ephb1,-0.7456931,1.7450828E-06
Adamts12,0.8766411,1.8244976E-06
Gm12067,-2.2036242,1.940826E-06
Hsd17b12,0.7785891,2.0376049E-06
Amy1,-0.9292403,2.0832517E-06
Rnf128,0.7649389,2.1822684E-06
Lrp1b,-1.8513505,2.195546E-06
Ldlr,0.75494224,2.2446354E-06
Gjb2,2.4013903,2.2550835E-06
Npr3,0.9970197,2.2597494E-06
Insig1,0.7650407,2.4353624E-06
Fads2,0.7411514,2.4519518E-06
Corin,-1.234048,2.471788E-06
Itga8,-1.058616,2.5660831E-06
Rapgef3,-0.79800403,2.5925567E-06
Mgll,0.79826826,2.8930558E-06
Nkd1,0.736354,3.0833642E-06
Egr3,-2.804777,3.3057574E-06
Cntn5,-1.4192308,3.338682E-06
Stum,1.2664828,3.3605302E-06
Fbn2,0.8787552,3.3621927E-06
Plk5,-1.0530808,3.3687745E-06
Rian,0.8633664,3.3766862E-06
B4galnt1,-1.817118,3.3785188E-06
